Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 20 Glass Tonnage Kg,May 20 Glass Tonnage Kg,Jun 20 Glass Tonnage Kg,Jul 20 Glass Tonnage Kg,Aug 20 Glass Tonnage Kg,Sep 20 Glass Tonnage Kg,Oct 20 Glass Tonnage Kg,Nov 20 Glass Tonnage Kg,Dec 20 Glass Tonnage Kg,Jan 21 Glass Tonnage Kg,Feb 21 Glass Tonnage Kg,Mar 21 Glass Tonnage Kg
The Original Factory Shop,"77-91 Main Street, Garforth",LS25 1AF,Shops,Garforth and Swillington,Y,LS25,22001,72562633,53.794915,-1.388625,433352,440370,Y,,Y,Y,,"Glass, Textiles, Small Electrical",1,,1,8155.87,7581.19,7365.04,7923.81,4335.33,,,,,,,
The Owl,"1 Rodley Lane, Rodley",LS13 1LB,Pub,Calverley and Farsley,Y,LS13,22152,72273491,53.822856,-1.662739,436340,422299,Y,,,,,Glass,1,,3,3159.34,3753.78,3467.19,2500.75,1753.69,,,,,,,
The Pax Inn,"The Village, Wetherby, LS23 7AR",LS23 7AR,Pub,Wetherby,Y,LS23,22157,72392207,53.909477,-1.34229,446125,443304,Y,,Y,,,"Glass, Textiles",1,,3,1026.47,1891.28,1247.83,1670.18,,,,,,,,
The Plantation,"Bodmin Approach, Middleton",LS10 4NT,Pub,Middleton Park,,LS10,22160,72023390,53.74791,-1.557054,428040,429308,Y,,,,,Glass,1,,1,179.67,693.85,650.61,691.15,394.02,,,,,,,
The Prospect ,"Moor Road, Hunslet",LS10 2JJ,Pub,City and Hunslet,Y,LS10,22167,72136698,53.772057,-1.534587,430736,430772,Y,,,,,Glass,1,,1,,379.15,,431.83,610.71,,,,,,,
The Railway Club,Driver Terrace,LS12 1EA,Social Club,Armley,Y,LS12,22287,72059298,53.791744,-1.569025,432912,428489,Y,,,,,Glass,1,,1,,,,,,,,,,,,
The Robin Hood,"11 Kirk Lane, Yeadon",LS19 7EP,Pub,Otley and Yeadon,Y,LS19,22271,72566712,53.865644,-1.687441,441093,420652,Y,,,,,Glass ,,,,,,,286.75,,,,,,,,
The Rock,458 Leeds and Bradford Road,LS13 1EP,Pub,Bramley and Stanningley,Y,LS13,22208,72118078,53.818502,-1.636906,435864,424002,Y,,,,,Glass,1,,3,2172.54,1010.16,1919.72,925.61,1867.63,,,,,,,
The Spinning Wheel,"Admiral Street, Holbeck",LS11 5NG,Social Club,City and Hunslet,,LS11,22238,72527281,53.782007,-1.54378,431839,430159,Y,,,,,Glass,1,,3,,,,,1229.83,,,,,,,
The Sportsman Inn,"14 Hunger Hill, Morley",LS27 9AD,Pub,Morley South,,LS27,23094,72350855,53.742617,-1.60099,427434,426414,Y,,,,,Glass,1,,1,,,,,682.43,,,,,,,
The Swinnow Hotel (closed),Swinnow Lane,LS13 4QX,Pub,Pudsey,,LS13,22256,72205780,53.799712,-1.64132,433772,423722,Y,,,,,Glass,1,,1,,,676.05,,,,,,,,,
The Two Pointers,"69 Church St, Woodlesford",LS26 8RE,Pub,Rothwell,,LS26,,72383464,53.757864,-1.447301,429198,436537,Y,,,,,,,,,1248.75,561.46,1202.39,548.33,1214.01,,,,,,,
Thorner Victory Hall,"Carr Lane, Thorner",LS14 3EY,Business,Harewood,,LS14,22324,72389021,53.860124,-1.428515,440585,437684,Y,,,,,Glass,1,,1,272.31,1060,607.14,1143.75,1023.2,,,,,,,
Three Horse Shoes,"16 Leeds Road, Oulton",LS26 8JU,Pub,Rothwell,Y,LS26,22265,72151471,53.827773,-1.582709,436915,427564,Y,,,,,Glass,1,,1,0,,,,,,,,,,,
Tingley W.M.C,"Institute House, Bradford Road, Tingley",WF3 1JZ,Social Club,Morley South,Y ,WF3,22266,72368755,53.731472,-1.580071,426202,427801,Y,,,,,Glass,1,,3,,1467.54,877.44,,,,,,,,,
Tinshill and Cookridge Social Club,Woodnook Drive,LS16 6PF,Social Club,Weetwood,,LS16,22267,72552128,53.845331,-1.625062,438853,424766,Y,,,,,Glass,1,,1,752.89,333.88,675.29,1021.29,578.84,,,,,,,
TJs Bar and Grill,Woodhouse Street,LS6 2JH,Pub,Hyde Park and Woodhouse,,LS6,22268,72558697,53.814566,-1.556762,435456,429281,Y,,,,,Glass,1,,1,131.98,,507.65,470.43,541.83,,,,,,,
Toby Carvery/The Eleventh Earl,"4 Fink Hill, Horsforth",LS18 4DH,Pub,Horsforth,,LS18,21948,72305164,53.834517,-1.645232,437643,423445,Y,,,,,Glass,1,,1,1643.16,1981.5,2292.11,1405.13,1349.2,,,,,,,
Troydale Recreational Club,Troydale Grove,LS28 9LA,Social Club,Pudsey,,LS28,22270,72557787,53.786979,-1.639304,432356,423862,Y,,,,,Glass,1,,1,606.49,786.09,314.56,447.46,,,,,,,,
Turnbull Court Sheltered Housing Scheme,"Turnbull Court, Roundhay",LS8 3AZ ,Sheltered Housing,Roundhay,,,,72738713,53.823571,-1.485617,436489,433958,,,,,,,,,,,,,255,287.84,,,,,,,
Two Pointers Public House,"Church Street, Woodlesford",LS26 8RE,,,,,22272,72383464,53.757844,-1.447228,429198,436537,,,,,,,,,,,,,,,,,,,,,
Victoria Road,Victoria Road,LS6 1AT,Road Side,Headingley,,LS6,,72222272,53.814966,-1.564581,435497,428766,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,
Tyersal Residents Association Community Centre,Tyersal Road Bradford,BD4 8EZ,Community Centre,Pudsey,Y,BD4,22273,72524670,53.791618,-1.698268,432854,419975,Y,,,,,Glass,1,,1,2352.48,2442.86,1730.52,2503.31,345.16,,,,,,,
"Turnbull Court, Sheltered Housing",Turnbull Court,LS8 3AZ,Sheltered Housing,Gipton and Harehills,Y,LS8,23184,72738713,53.823571,-1.485617,436489,433958,,,,,,Glass,1,,1,,232.64,,,488.57,,,,,,,
Wagon and Horses,"154 Leeds Road, Lofthouse",WF3 3LR,Pub,Ardsley and Robin Hood,Y ,WF3,22280,72562053,53.725484,-1.495529,425572,433383,Y,,,,,Glass,1,,1,,350.04,180.47,,345.16,,,,,,,
Wagon and Horses,"2 Town Street, Pudsey",LS28 6HL,Pub,Bramley and Stanningley,,LS28,22281,72218574,53.80855,-1.657509,434750,422651,Y,,,,,Glass,1,,1,454.86,626.78,471.83,785.75,,,,,,,,
"Waitrose Meanwood, ",Capitol Parade,LS6 4RJ,Supermarket,Meanwood,,LS6,22282,72685303,53.828313,-1.567814,436981,428544,Y,Y,Y,Y,,"Glass, Paper, Tesxtiles, Small eletrical applicances",,,,26632.58,33884.76,35015.13,28404.13,23425.69,,,,,,,
"Waitrose Otley, ","60 Westgate, Otley",LS21 3AS,Supermarket,Otley and Yeadon,Y,LS21,22283,72340493,53.903648,-1.697745,445318,419956,Y,,,,,Glass,1,,4,10032.14,12999.38,18703.89,14236.53,17067.54,,,,,,,
West Leeds ARLFC,Redshaw Road,LS12 1HH,Sports Club,Armley,,LS12,22288,72168679,53.791048,-1.580371,432830,427742,Y,,,,,Glass,1,,3,1005.58,,824.85,,,,,,,,,
Wetherby Cricket and Rugby Club,"Old Boston Road, Wetherby",LS22 5NB,Sports Club,Wetherby,Y,LS22,22356,72334381,53.919517,-1.381248,447219,440735,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Wetherby Golf Club,Linton Lane,LS22 4JF,Sports Club,Wetherby,Y,LS22,22290,72335692,53.926119,-1.401634,447942,439390,Y,,,,,Glass,1,,1,507.31,0,800.28,488.51,477.33,,,,,,,
Wetherby Lorry Park (Morrisons),Hallfield Road,LS22 6JG,Supermarket,Wetherby,Y,LS22,22291,72567788,53.927946,-1.382723,448156,440630,Y,Y,Y,,,"Glass, Paper, Textiles, Small eletrical applicances",1,,7,24850.58,34739.27,27502.89,27786.69,,,,,,,,
Wetherby Sports Association,Boston Road,LS22 5NB,Sports Club,Wetherby,,,22292,72334381,53.919517,-1.381248,447219,440735,Y,,,,,Glass,,,,,554.15,820.94,449.5,25692.52,,,,,,,
Wetherby WMC,"Sandown House, Sandbeck Way",LS22 7DN,Social Club,Wetherby,Y,LS22,22293,72567848,53.936926,-1.379376,449157,440841,Y,,,,,Glass,1,,1,,417.1,,325.67,1484.38,,,,,,,
Wharfe Bank Business Centre (Otley Business park),"West c/p nr Pegholme Mill, Ilkley Road, Otley",LS21 3JP,Road Side,Otley and Yeadon,,LS21,22150,72340951,53.903233,-1.706754,445270,419365,Y,,,,,Glass,1,,1,,547.18,438.16,,538.47,,,,,,,
White Horse,"2 Hough Side Road, Pudsey",LS28 9DD,Pub,Pudsey,Y,LS28,22295,72545473,53.797418,-1.652787,433513,422968,Y,,,,,Glass,1,,1,1502.45,1363.52,1529.63,1871.06,1196.2,,,,,,,
White Rose Shopping Centre,Dewsbury Road,LS11 8LU,Shops,Morley North,Y,LS11,22296,72369232,53.75785,-1.574135,429139,428175,Y,Y,Y,,,"Glass, Paper, Small eletrical applicances",1,,6,8474.02,13619.21,12914.11,12117.47,6559.44,,,,,,,
Whitkirk Cricket Club,Selby Road,LS15 0PG,Sports Club,Temple Newsam,Y,LS15,22299,72182132,53.795869,-1.453953,433423,436066,Y,,,,,Glass,1,,1,,,767.57,632.82,483.82,,,,,,,
Windmill Inn,"Main Street, Linton",LS22 4HT,Pub,Harewood,,LS22,22301,72390333,53.915379,-1.407192,446744,439035,Y,,,,,Glass,1,,1,,,553.68,471.58,554.53,,,,,,,
Woodhouse Cricket Club,481 Meanwood Road,LS6 2BH,Sports Club,Chapel Allerton,,LS6,22302,72130481,53.822645,-1.561264,436353,428979,Y,,,,,Glass,,,,262.85,511.02,568.5,295.79,497.53,,,,,,,
"Woodhouse Moor, Site 1",Cliff Road,LS6 2UZ,Road Side,Hyde Park and Woodhouse,Y,LS6,22067,72236184,53.814344,-1.56091,435430,429008,Y,,,,,Glass,1,,2,910.55,858.24,1488.53,672.48,1230.34,,,,,,,
Woodkirk Valley Football Club,"Dewsbury Road, Woodkirk",WF12 7JL,Sports Club,Morley South,,WF10,22988,72369364,53.722961,-1.552396,425251,427099,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Woodhouse Street,Woodhouse Street,LS6 2JW,Road Side,Headingley,,LS6,,72236297,53.814312,-1.555298,435430,429378,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,
Wykebeck Arms ,Selby Road ,LS9 0EW,Pub,Temple Newsam,Y,LS9,22307,72181807,53.799954,-1.48135,433864,434258,Y,,,,,Glass,1,,1,,786.81,514.16,345.64,690.32,,,,,,,
Yarnbury (Horsforth) Rugby Football Club,"Brownberrie Lane, Horsforth",LS18 5HB,Sports Club,Horsforth,Y,LS18,22308,72307109,53.84994,-1.650954,439357,423060,Y,,,,,Glass,1,,1,869.42,2049.5,2392.75,1751.1,1670.98,,,,,,,
Yasin Banqueting Suite formerly Beeston Hill Social Club,130 Beeston Road,LS11 8BB,Social Club,Beeston and Holbeck,,LS11,21919,72563694,53.778065,-1.554506,431396,429455,Y,,,,,Glass,1,,3,1065.73,,510.74,,1054.14,,,,,,,
Yeadon Liberal Club,"High Street, Yeadon",LS19 7PP,Social Club,Otley and Yeadon,Y,LS19,22309,72297700,53.865947,-1.683317,441128,420923,Y,,,,,Glass,1,,1,1629.83,2302.39,2044.13,1115.84,768.94,,,,,,,
Yeadon Town Hall,"High Street, Yeadon",LS19 7PP,Council Office,Otley and Yeadon,,LS19,22309,72297669,53.865708,-1.684551,441101,420842,Y,,,,,Glass,1,,1,1590.81,2300.22,2752.55,1534.59,1801.02,,,,,,,
Yorkshire Amateur Athletic Football Club,Roxholme Road,LS8 4EB,Sports Club,Chapel Allerton,,LS8,22310,72563780,53.823337,-1.521456,436447,431599,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Zaccharys Café,54 Fulneck,LS28 8NT,Restaurant,Pudsey,Y,LS28,22318,72283186,53.783697,-1.666878,431982,422047,Y,,,,,Glass,1,,1,1073.11,1020.57,1088.67,765.77,1070.15,,,,,,,
